#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 3.254113943213870486e-01 2.623166287309554034e-01 2.589484311134014893e-01 1.911613834732109052e-01 1.807288106357568536e-01 1.813042159336019643e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.399077150769073789e-04 -5.723574042637801618e-05 3.689244509476920773e-04 1.915012911882877644e-01 1.806715748953303669e-01 1.816731403845497639e-01
-9.500000000000000000e+01 4.709491576157435744e-01 3.541237307870642170e-01 3.564179658698690134e-01 2.016551062824116780e-01 1.953065149385177779e-01 1.942762220961146424e-01 -7.381227650939378047e-06 -3.149263198975134589e-06 -4.391942236838571661e-06 1.958618010483573722e-03 1.115103099980227757e-03 1.001480760421906771e-03 2.036137242928952873e-01 1.964216180384980026e-01 1.952777028565363671e-01
-9.250000000000000000e+01 6.197936989684065257e-01 4.570900438678180411e-01 4.545176235520072550e-01 2.140865508286578789e-01 2.087145859491748023e-01 2.072263531622448585e-01 8.250618585659592744e-05 4.035390336429064403e-05 1.700943461466338186e-04 3.068066267270596215e-03 1.595639898042351896e-03 2.171591978470789695e-03 2.171546170959283983e-01 2.103102258472171193e-01 2.093979451407156911e-01
-9.000000000000000000e+01 7.941349467703336940e-01 5.719937861179379412e-01 5.670557680629194630e-01 2.271732482927083241e-01 2.221556596739854561e-01 2.208605599602352920e-01 5.975245671367227234e-05 5.555154391746560972e-05 6.619670029188024472e-05 3.820375481077182851e-03 2.841393047028988993e-03 2.078928891891882250e-03 2.309936237737854614e-01 2.249970527210145566e-01 2.229394888521271656e-01
-8.750000000000000000e+01 8.049706717147293578e-01 5.825410730511164648e-01 5.447443122759780820e-01 2.382822177087931814e-01 2.327733089945825673e-01 2.329182976484841516e-01 5.485058224629565937e-04 3.496674212442301425e-05 2.153359664002580873e-05 4.543160336668924590e-03 9.728642614217977713e-04 1.913884361667171066e-03 2.428253780454620037e-01 2.337461732560043859e-01 2.348321820101513524e-01
-8.500000000000000000e+01 8.611284461301588200e-01 6.242397455744093104e-01 5.818660211147163031e-01 2.452027658431628065e-01 2.398713385295010159e-01 2.405480959589402778e-01 2.095085555833979324e-04 4.874436335080724455e-04 2.156762764777958574e-04 1.525471847172301092e-03 1.990620776316390315e-03 6.632080494459392968e-04 2.467282376903350560e-01 2.418619593058173589e-01 2.412113040083862237e-01
-8.250000000000000000e+01 8.116610836640412163e-01 6.061487825459537238e-01 5.358170379886044721e-01 2.511694834518712338e-01 2.467056528547905137e-01 2.453660198519543312e-01 1.232661759626538871e-05 -3.747147253360251875e-05 -1.209365792026686172e-05 2.230632925539161992e-03 8.640163897533131767e-04 1.966489775099982112e-03 2.534001163774103338e-01 2.475696692445439884e-01 2.473325096270543033e-01
-8.000000000000000000e+01 8.274296429923920781e-01 6.292719664209101005e-01 5.440943636887831669e-01 2.562553041764624728e-01 2.533169505087142781e-01 2.527300187066529036e-01 -2.561090948436225902e-05 -2.742459237752989678e-06 1.205882890144178377e-05 1.441321421373702822e-03 3.147646073572764346e-04 1.000881778497326622e-03 2.576966255978361264e-01 2.536317151160716876e-01 2.537309004851503458e-01
-7.750000000000000000e+01 8.257494249534920172e-01 6.198521427727787803e-01 5.557718138122198503e-01 2.620151756936719978e-01 2.610919071144514603e-01 2.601133119781102732e-01 -1.128401258994799728e-05 -5.401750518301791876e-06 -8.378977641518492846e-06 3.761529229960057074e-03 2.856772563817566897e-03 1.739039768038507742e-03 2.657767049236320900e-01 2.639486796782690159e-01 2.618523517461489591e-01
-7.500000000000000000e+01 8.145628724207450988e-01 6.166017130607351904e-01 5.445928841938404430e-01 2.694472215435361750e-01 2.663225170384176943e-01 2.652464986597065644e-01 -3.162596716893971996e-05 -5.802031786860120872e-06 -1.110823746994861007e-05 6.029317229858928082e-03 3.127836589214057043e-03 3.770542450505352632e-03 2.754765387733952298e-01 2.694503536276315891e-01 2.690170411102120185e-01
