#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 1.413357081145067695e-01 1.407900573346417827e-01 1.444785687198821555e-01 1.389982088334423549e-01 1.393679519908546105e-01 1.402797950056288157e-01 -3.228186335599253054e-05 -4.671334913995749632e-05 -1.830498827375745942e-05 -9.936142953000062404e-05 -8.189634825032453649e-05 -4.233978956088501830e-05 1.388988474039123400e-01 1.392860556426041840e-01 1.402374552160678967e-01
-9.500000000000000000e+01 1.305739661007812857e-01 1.321670833892316099e-01 1.359053755994197865e-01 1.394160071372396170e-01 1.387798299915941891e-01 1.382947525571260050e-01 -1.761753956722475633e-05 -1.180622586215758682e-05 -8.741865216583672753e-06 -3.522410228726357423e-04 -3.815692351225415590e-04 1.471116399441236612e-04 1.390637661143669657e-01 1.383982607564717138e-01 1.384418641970702468e-01
-9.250000000000000000e+01 1.227944475051874762e-01 1.318334295907102327e-01 1.258730150887648891e-01 1.389763059225113950e-01 1.380871245096217670e-01 1.371325447296037336e-01 -7.893056162787482678e-05 -2.365397091421402593e-05 -4.958700449846235099e-05 -1.031846029169659933e-04 -9.305517317281304006e-05 -4.126727779347441789e-05 1.388731213195944780e-01 1.379940693364490045e-01 1.370912774518101840e-01
-9.000000000000000000e+01 1.330643849293008385e-01 1.357329894130704373e-01 1.363764459009907948e-01 1.369712326380978507e-01 1.357922255596779593e-01 1.368376923155354974e-01 -4.200038025443848268e-05 -1.959086571609449124e-05 -3.786952341852177457e-05 3.111919490117067392e-05 5.926538963547157719e-04 3.017848712230648107e-04 1.370023518329990808e-01 1.363848794560326150e-01 1.371394771867585349e-01
-8.750000000000000000e+01 1.367834081394235513e-01 1.369242610112950398e-01 1.403955609852285125e-01 1.370279526779734081e-01 1.360216972363053611e-01 1.364779906665015696e-01 7.059004787838180127e-05 5.270894672215930334e-05 1.791880914713757139e-05 6.998150119824482441e-04 1.017466686861866285e-03 4.933382341256092657e-04 1.377277676899558434e-01 1.370391639231673120e-01 1.369713289006272150e-01
-8.500000000000000000e+01 1.255004962422500425e-01 1.336119007947930426e-01 1.333617958842037432e-01 1.403154005838115892e-01 1.378662825637396450e-01 1.380495903463519192e-01 -4.053310418333389568e-05 -1.683201200386042070e-05 -4.421183594650003119e-05 -5.538817956497381432e-04 -1.706775661865081787e-04 -7.570630299044586687e-05 1.397615187881618981e-01 1.376956049975531782e-01 1.379738840433614722e-01
-8.250000000000000000e+01 1.250508796818589341e-01 1.268775569295813588e-01 1.321510466034619136e-01 1.404185644076531292e-01 1.388040245950550589e-01 1.394434068760417589e-01 3.677015858095646029e-05 1.303846463651082505e-05 -3.563526213219013036e-06 -7.654746307200610686e-04 -5.998525408434271207e-04 -3.481306590819136545e-04 1.396530897769329427e-01 1.382041720542115382e-01 1.390952762169598844e-01
-8.000000000000000000e+01 1.268908447075610679e-01 1.309799697591351453e-01 1.324738100139898345e-01 1.365676461401573449e-01 1.366569948422279579e-01 1.378611757931223758e-01 2.438370392209988344e-05 -2.153490636769766903e-05 -3.980363882486673554e-05 6.954102293784238456e-04 -1.883230426108352764e-04 -1.811622673806686156e-04 1.372630563695358130e-01 1.364686717996171916e-01 1.376800135257416902e-01
-7.750000000000000000e+01 1.259089805023629327e-01 1.340378282192082882e-01 1.329143989813621751e-01 1.379632836437041377e-01 1.377513229534063632e-01 1.382110904926161510e-01 -1.553602454069489023e-05 -2.991978014365138008e-05 -2.463536302734637410e-05 -2.436854232364262884e-04 -9.171096167712596795e-05 1.646166311767069802e-04 1.377195982204677260e-01 1.376596119917291861e-01 1.383757071237928793e-01
-7.500000000000000000e+01 1.301999606125988640e-01 1.370800425602676786e-01 1.391794642217166200e-01 1.419511372943415561e-01 1.408058331887873105e-01 1.417855813579134150e-01 -4.070597011361799851e-06 -2.382795292598529730e-06 -2.801864100404850005e-06 -4.464773440600847587e-04 -3.748377427191950544e-04 -6.793721765348233806e-05 1.415046599502816083e-01 1.404309954460681020e-01 1.417176441402599740e-01
-7.250000000000000000e+01 1.352881728669017847e-01 1.381996998620126926e-01 1.365505353737358485e-01 1.435004759691642096e-01 1.413887306232345376e-01 1.421469214994573460e-01 -2.384839019792140427e-05 -1.928629744556122481e-05 8.193492729777935999e-06 8.276045578691483507e-04 3.953389224262953013e-04 4.515942479199790745e-04 1.443280805270333034e-01 1.417840695456608624e-01 1.425985157473773635e-01
-7.000000000000000000e+01 1.380245005148408310e-01 1.420965696431282510e-01 1.370337314771286896e-01 1.404942046848269288e-01 1.380702939982240696e-01 1.387741318010872194e-01 -5.583913061638385043e-05 -5.014261961604605486e-05 -2.997566234166622749e-05 -4.340485598054555469e-04 -3.908504237305845692e-04 -1.236553381500081516e-04 1.400601561250213734e-01 1.376794435744934930e-01 1.386504764629371833e-01
-6.750000000000000000e+01 1.389919348763981322e-01 1.338601886123687301e-01 1.376446289663493527e-01 1.373361359092830636e-01 1.348900360494265094e-01 1.363718746207501220e-01 1.369636053956379000e-04 1.022306024951149579e-04 5.355970121774407389e-05 -8.359941843084524576e-04 -5.051690003400259414e-04 -7.210972625941265354e-04 1.365001417249746274e-01 1.343848670490864761e-01 1.356507773581560328e-01
-6.500000000000000000e+01 1.331653659052144389e-01 1.318969819365385099e-01 1.387375066505497356e-01 1.367688465301562795e-01 1.356915321335848412e-01 1.359319804067154747e-01 -3.698826876759040344e-05 -1.007533945050444081e-05 -2.256012118560950827e-05 -3.787419925865897824e-04 1.156891473887372790e-04 -3.016942991203860414e-04 1.363901045375697785e-01 1.358072212809735280e-01 1.356302861075950328e-01
-6.250000000000000000e+01 1.273683837908873295e-01 1.385703580197469587e-01 1.344272559299372338e-01 1.360082648228225222e-01 1.376653086635956924e-01 1.355947429368618284e-01 -3.706170965402495960e-05 -5.253631325775032609e-05 -2.890560192212049282e-05 3.571139834573886537e-04 4.417807637557195997e-04 2.558511363671870471e-04 1.363653788062798855e-01 1.381070894273514205e-01 1.358505940732289419e-01
