#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 4.238222877294075097e+00 2.953335972688067468e+00 2.948726631245810914e+00 9.384696579846698583e-01 8.946591597496735826e-01 9.037330757432030515e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.673314958538467335e-03 -2.501575031962703340e-04 8.034833637025128950e-04 9.411429729432084779e-01 8.944090022464772360e-01 9.045365591069056688e-01
-9.500000000000000000e+01 7.384557045738880277e+00 4.860325553786052133e+00 4.869231657650042067e+00 1.002361462793323499e+00 9.741819695179411154e-01 9.727584928175734280e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.137351382410551476e-02 8.475096079655625517e-03 8.007394486410352244e-03 1.013734976617428840e+00 9.826570655975963575e-01 9.807658873039839520e-01
-9.250000000000000000e+01 1.130730030764043192e+01 7.367598333282083800e+00 7.296625462801790363e+00 1.069600513714290102e+00 1.040983291775368746e+00 1.039198344414314912e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.555809550714970339e-02 1.070367823502455656e-02 1.026923004361472713e-02 1.085158609221439585e+00 1.051686970010393685e+00 1.049467574457929153e+00
-9.000000000000000000e+01 1.553675208723604406e+01 1.004765631461666153e+01 9.947695922998079254e+00 1.132341510003601392e+00 1.102207294789056435e+00 1.106552826013559088e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.774352442798994914e-02 1.195132742091552583e-02 1.146847856102058832e-02 1.150085034431591158e+00 1.114158622209971972e+00 1.118021304574579489e+00
-8.750000000000000000e+01 1.567206947426454633e+01 1.004390595649020490e+01 9.187966573199769726e+00 1.188219944064869305e+00 1.161235535194707458e+00 1.160419237845852880e+00 -6.211771457845775444e-05 -1.357049638246028081e-05 -5.470906832337256128e-06 2.192778331263072270e-02 1.057482981640607209e-02 1.223227990977774314e-02 1.210147727377500315e+00 1.171810365011114019e+00 1.172651517755630701e+00
-8.500000000000000000e+01 1.564529021069711767e+01 1.018683988029779819e+01 8.941927244302855016e+00 1.221982990551691461e+00 1.204595738732137100e+00 1.203033430674464554e+00 -1.183635519401295174e-05 3.499711810303674855e-06 -7.351892402182665238e-06 1.345074356954557848e-02 6.913932503756322484e-03 6.782752035358488238e-03 1.235433734121237359e+00 1.211509671235892815e+00 1.209816182709823051e+00
-8.250000000000000000e+01 1.577626002598220722e+01 1.031080656111035943e+01 8.802197681695833609e+00 1.250068049599014630e+00 1.235759909291316738e+00 1.238029740420656610e+00 -1.831374113461258610e-05 -9.525141140493472314e-06 -2.055377764162541116e-05 1.882433602278980184e-02 1.090731283470908718e-02 1.051943043609149774e-02 1.268892385621804175e+00 1.246667222126025765e+00 1.248549170856747770e+00
-8.000000000000000000e+01 1.555359148415980108e+01 1.019566915004123153e+01 8.445964640151894187e+00 1.284129023126174829e+00 1.266863766559472637e+00 1.266873743567681787e+00 -8.715423136476822678e-07 -2.476356047747681946e-06 -9.935225929730599067e-07 2.163159493811205383e-02 1.561861352046816677e-02 1.362028856200422737e-02 1.305760618064286893e+00 1.282482380079940754e+00 1.280494032129686488e+00
-7.750000000000000000e+01 1.591321670852713765e+01 1.040000588261078995e+01 8.646955627436385683e+00 1.309916889497945602e+00 1.297793700763108626e+00 1.292272569386232917e+00 -1.588618206941544225e-05 -1.330442277929589972e-05 -1.079314358595620964e-05 2.253351415184277201e-02 1.476595275337298091e-02 1.192225076709005870e-02 1.332450403649788839e+00 1.312559653516481628e+00 1.304194820153323997e+00
-7.500000000000000000e+01 1.566609741051960469e+01 1.039441203921509960e+01 8.618815509791581064e+00 1.341694455599578673e+00 1.328556243625286681e+00 1.324299291765190123e+00 -1.740396764064194602e-05 -6.033811743703425789e-06 -3.289802680204302883e-06 2.688572596350947974e-02 1.242902817783444851e-02 1.720018670148082060e-02 1.368580181563088471e+00 1.340985271803121437e+00 1.341499478466671169e+00
