#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 3.786582094659370901e-01 3.301647643590458481e-01 3.274527175912265164e-01 2.823481582502702647e-01 2.665542930723013848e-01 2.656782400186532556e-01 -3.718389616726800465e-05 -1.742770396484480229e-05 -2.386334543635319912e-05 1.281446182324800056e-04 -1.871874923228665651e-04 2.833889516813525161e-04 2.824763028685029487e-01 2.663671055799784471e-01 2.659616289703345959e-01
-9.500000000000000000e+01 4.513551357258464014e-01 3.872543494946864562e-01 3.759463852923750626e-01 2.892472964366833432e-01 2.745632553212827842e-01 2.751449114177695887e-01 -3.392474733425931890e-05 -9.350144783447897456e-06 -1.324476519106127125e-05 1.029930726722376151e-03 6.700611578206290770e-04 7.733633348187909668e-04 2.902772271634057044e-01 2.752333164791033737e-01 2.759182747525886770e-01
-9.250000000000000000e+01 5.207569550575624762e-01 4.178082698767466852e-01 4.224014108526775724e-01 3.011235682794277113e-01 2.849836419253450326e-01 2.863735453256608943e-01 -7.893355195056617259e-06 -3.686844285469603143e-06 -6.492135952570430141e-06 -5.883016653813626963e-04 -1.846174415307808069e-04 -4.843403955862817098e-04 3.005352666140462814e-01 2.847990244838141116e-01 2.858892049300745253e-01
-9.000000000000000000e+01 6.403996794256799907e-01 4.966265474069291863e-01 5.067228934114684780e-01 3.099755809743324764e-01 2.952090946373012170e-01 2.958993610394691776e-01 1.264293369449178274e-04 9.664929068205755297e-07 4.607182423500080792e-05 2.568088414719196973e-03 1.099366701979367922e-03 7.234423210809075517e-04 3.125436693890515927e-01 2.963084613392808486e-01 2.966228033605503023e-01
-8.750000000000000000e+01 6.480674390725125189e-01 5.110361727586606451e-01 5.076341573485484426e-01 3.098701914159267545e-01 2.991413078977093742e-01 2.989752045198639241e-01 3.265541444227524210e-05 -1.734872572685221674e-05 -6.081452953174427843e-06 1.351183904657401666e-03 7.852084469367074998e-04 6.857943431996182341e-04 3.112213753205844147e-01 2.999265163446460103e-01 2.996609988630635768e-01
-8.500000000000000000e+01 6.445432022342630907e-01 5.150547759187172892e-01 5.088475752093666316e-01 3.100602402060931850e-01 2.993982392597880904e-01 2.983283140825556123e-01 1.552754213173790354e-04 5.519877364605656938e-05 4.624819550586442904e-05 2.056922490369608725e-03 1.609736600063397692e-03 8.326231882466915641e-04 3.121171626964627799e-01 3.010079758598512290e-01 2.991609372708022296e-01
-8.250000000000000000e+01 6.540179348597813247e-01 5.011097593072808554e-01 5.193405022580263042e-01 3.123753716884072329e-01 2.989056507216210634e-01 2.980292467728378192e-01 -5.959191234471495951e-05 -3.162480612315327684e-05 -2.827011045427647471e-05 2.784672940226890891e-03 2.084531403567927051e-03 1.767119106158890210e-03 3.151600446286340618e-01 3.009901821251890208e-01 2.997963658789964403e-01
-8.000000000000000000e+01 6.535611124498208468e-01 5.061540181185496534e-01 5.110712418524706591e-01 3.133106243663393298e-01 2.993006852563109277e-01 2.995098512998687901e-01 9.020135531083158808e-06 -2.308918065783418386e-05 6.936890277321436946e-06 1.821270481662993612e-03 1.036503581838185304e-03 1.359361727358525960e-03 3.151318948480023030e-01 3.003371888381489718e-01 3.008692130272271892e-01
-7.750000000000000000e+01 6.612084979074454028e-01 5.267567643594378568e-01 5.224968796910234303e-01 3.145601717652842799e-01 3.009169947468721129e-01 3.007724813854678048e-01 -1.432420978558650110e-05 -1.203847179199510010e-05 -6.785183109048139730e-06 5.311153774707105856e-04 3.065116516863409520e-05 4.967024349924046341e-04 3.150912871427544726e-01 3.009476459120409286e-01 3.012691838204604733e-01
-7.500000000000000000e+01 6.497628334274807571e-01 5.220697663041918846e-01 5.158171140351679451e-01 3.129815022617056242e-01 3.025663247603665451e-01 2.999981296162465005e-01 -2.472867000673669073e-05 -1.394511766460286662e-05 -1.926082103224308951e-05 5.181723825548108665e-04 4.495652792135528008e-04 7.264117146136743822e-04 3.134996746442606508e-01 3.030158900395797383e-01 3.007245413308602400e-01
-7.250000000000000000e+01 6.658405285332583690e-01 5.227265235140626798e-01 5.119971625696667639e-01 3.121352116688075884e-01 3.020376736951944086e-01 3.005164491064523102e-01 -8.309011761110422791e-06 -1.678024752213549403e-05 -5.405061866184957777e-06 7.145717398203748835e-04 1.271824416469339116e-04 6.598184888690207354e-04 3.128497834086279017e-01 3.021648561368413533e-01 3.011762675953215673e-01
-7.000000000000000000e+01 6.418886811812511972e-01 5.053908359129029026e-01 4.992201042598549132e-01 3.141312674598178978e-01 2.997907307447637559e-01 3.013883094620174452e-01 2.006136414875221171e-05 -5.616777160934454690e-06 4.198135186521978501e-05 7.558112253886904632e-04 1.670010706889448057e-04 2.599152150942380421e-04 3.148870786852067671e-01 2.999577318154527661e-01 3.016482246771118314e-01
-6.750000000000000000e+01 6.450200828268431996e-01 5.102419496802438337e-01 5.088428840469059189e-01 3.143463923802586324e-01 3.000110146355299268e-01 3.013397804391492740e-01 -3.777316763895857449e-05 -1.919706045879304804e-05 -1.454542389778038953e-05 1.257784655710706724e-03 5.725226862527865897e-04 1.399921055896510228e-03 3.156041770359691578e-01 3.005835373217826678e-01 3.027397014950457543e-01
-6.500000000000000000e+01 6.444200122765767480e-01 5.094968948379703377e-01 5.130277993998492159e-01 3.146170539022909440e-01 3.014477555986105339e-01 3.003789574651853367e-01 -4.089844115593227404e-05 -3.683466460765475809e-05 -4.044038029800936420e-05 1.422212317225194636e-03 1.114814643843008201e-03 9.655459230991941420e-04 3.160392662195161684e-01 3.025625702424536434e-01 3.013445033882843904e-01
-6.250000000000000000e+01 6.709268768393280569e-01 5.151760606613328131e-01 5.189812134932636489e-01 3.155826841160313534e-01 3.022058465509959713e-01 3.015812154378599841e-01 2.775006517274125118e-04 1.566517103732019954e-04 2.031356458075583220e-04 1.396894008176127831e-03 1.212758733286160287e-03 7.089220897679422793e-04 3.169795781242076282e-01 3.034186052842822723e-01 3.022901375276278446e-01
-6.000000000000000000e+01 6.462781839252712546e-01 5.120688853214678815e-01 5.152388877073509343e-01 3.160190555603408225e-01 3.032756016265955035e-01 3.028667695411349503e-01 -6.005162868633783695e-05 -5.028210790375647714e-05 -3.168114051330383633e-05 3.532921823649586967e-03 2.283953784253701502e-03 2.444253099492210441e-03 3.195519773839904376e-01 3.055595554108493372e-01 3.053110226406272609e-01
-5.750000000000000000e+01 6.660365126634210098e-01 5.205625525070000092e-01 5.118795523918171497e-01 3.185975996617077532e-01 3.056974857209564522e-01 3.038988542398984305e-01 -7.483426490657833102e-05 -3.875298265011778095e-05 -4.593256007840196444e-05 1.639074144795763183e-03 1.396978760946126098e-03 1.281241088448699123e-03 3.202366738065033358e-01 3.070944644819025848e-01 3.051800953283471118e-01
-5.500000000000000000e+01 6.770977958244331907e-01 5.295120500207047831e-01 5.314085036953861696e-01 3.205730158230443161e-01 3.074224113152679294e-01 3.072362480414226882e-01 -2.022297477069038768e-05 -2.880019280608582004e-05 -2.414311825370585814e-05 2.007534214584228913e-03 1.802752545839987923e-03 6.643735964007793518e-04 3.225805500376285884e-01 3.092251638611078768e-01 3.079006216378236682e-01
-5.250000000000000000e+01 6.510378553351657827e-01 5.188250825710217784e-01 5.144831897325284897e-01 3.238050556758641507e-01 3.087120245068642466e-01 3.097886255623440444e-01 -4.697503000598661076e-06 3.545507543232840592e-06 -1.463986869430210822e-05 1.037850132154624150e-03 8.018729762759045426e-04 3.734071826360174998e-04 3.248429058080188336e-01 3.095138974831403988e-01 3.101620327449797765e-01
-5.000000000000000000e+01 6.743152554456252057e-01 5.336737338930139796e-01 5.443260471708796233e-01 3.268228130549561961e-01 3.111043487012949971e-01 3.122149506020120979e-01 -3.087111408515534085e-05 -2.076612152112688865e-05 -1.325715733538066404e-05 5.073241794721509773e-04 1.122527388234611677e-03 9.891284904923330901e-04 3.273301372344279980e-01 3.122268760895294815e-01 3.132040790925043061e-01
