#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 4.540543801641386268e-03 4.405345133000005721e-03 4.315462480944539346e-03 4.648603214170789893e-03 4.472311318417120443e-03 4.349663232715680200e-03 2.756376291092740174e-05 1.164370027679448530e-05 2.252567823896843840e-05 -4.959811840845815018e-05 -3.104236403151472239e-05 -2.357587946214548396e-05 4.599005095762330117e-03 4.441268954385607821e-03 4.326087353253535092e-03
-9.500000000000000000e+01 4.665885937329236621e-03 4.540152552854373816e-03 4.392365401114067813e-03 4.718812017281354479e-03 4.489834134883030799e-03 4.423399632451165825e-03 -9.870063243847207778e-07 7.670438735198083609e-06 -7.312335903151749094e-06 5.047195103190482736e-06 5.082445441028397094e-05 -7.081123551656274608e-06 4.723859212384545238e-03 4.540658589293312432e-03 4.416318508899507410e-03
-9.250000000000000000e+01 5.641335793542900587e-03 5.456429709447799606e-03 5.240861873787774211e-03 5.698335524881401916e-03 5.424739630310981831e-03 5.303079082382661930e-03 -5.639883077968824122e-07 -6.692279778623053068e-07 -7.646591945786097487e-07 -2.304188849166654659e-05 -1.340962310066708996e-05 -1.681818537288754575e-05 5.675293636389735705e-03 5.411330007210311994e-03 5.286260897009772107e-03
-9.000000000000000000e+01 1.661822697309983665e-02 1.736303268585012022e-02 1.657574617341588119e-02 1.777089047580361625e-02 1.796696967217168914e-02 1.719426898864847425e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.719434497478420740e-05 -1.336021227984937306e-05 2.791069940805887878e-05 1.775369613082884018e-02 1.795360945989185261e-02 1.722217968805652907e-02
-8.750000000000000000e+01 2.545953684037952081e-02 2.769969437216250607e-02 2.708413580455031749e-02 2.994948838507528396e-02 3.021251809047629730e-02 2.962189532405658243e-02 1.705703120783459229e-06 -2.594985749406896003e-06 -1.429329169236046159e-05 -1.068985801953661896e-04 -9.996985291857893546e-05 -1.261333616411899016e-04 2.984258980487992929e-02 3.011254823755770554e-02 2.949576196241541701e-02
-8.500000000000000000e+01 4.053563896326967814e-02 4.437822290916985934e-02 4.474463450033108053e-02 4.902230573100515437e-02 4.908988512533953713e-02 4.943406199850303162e-02 -5.953480942584139702e-06 -4.344039356073295746e-06 -2.488094435213266149e-06 -8.518623729588325425e-05 -7.749244379428571320e-05 -4.795494916896821054e-05 4.893711949370924130e-02 4.901239268154523182e-02 4.938610704933402845e-02
-8.250000000000000000e+01 5.251709256465158376e-02 9.063509958578601367e-02 9.391889659151325676e-02 1.551647530750190906e-01 1.558317870330277188e-01 1.561013109191574655e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.324134235015158015e-04 -1.887243282710939060e-04 -2.880014758846212290e-04 1.548323396515175476e-01 1.556430627047565851e-01 1.558133094432727628e-01
-8.000000000000000000e+01 2.868026511510563675e-02 1.600664902910386989e-01 1.661384654375724912e-01 3.599658057656128785e-01 3.600660906368948755e-01 3.603175476955174927e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.042257579540963968e-04 -5.257900117586897714e-04 -4.061334113822891645e-04 3.591615800076586873e-01 3.595403006251363665e-01 3.599114142841352559e-01
-7.750000000000000000e+01 -5.037823881633587617e-03 2.333720100053015833e-01 2.313161684958152109e-01 5.306290011478101976e-01 5.301547312111173360e-01 5.299995333891412974e-01 -1.876494175358284661e-06 -1.155649641501732525e-06 -1.126156373612820018e-06 -1.309470031963957384e-03 -7.308227569845762630e-04 -1.773041349011528656e-04 5.293195311158459537e-01 5.294239084541321194e-01 5.298222292542397183e-01
-7.500000000000000000e+01 1.519180725988238286e-02 2.845366975392299991e-01 2.816480307279434769e-01 5.897449225924036309e-01 5.909366905979147599e-01 5.897380247935773978e-01 -1.928494037605862880e-05 -7.710145433780546837e-06 -1.176292094937313510e-05 -1.576946892730776099e-03 -8.330626206409358619e-04 -5.988947841377038677e-04 5.881679756996727182e-01 5.901036279772735593e-01 5.891391300094397376e-01
-7.250000000000000000e+01 6.259504311161043916e-03 2.859294146704884909e-01 2.815804985815857919e-01 5.954075210084867065e-01 5.962203781234257649e-01 5.951578950357812037e-01 3.064660973613920092e-05 3.366026234738893650e-05 2.138680840846092225e-05 -1.110455399938426986e-03 -1.018174375075857254e-03 -8.297354367733454205e-04 5.942970656085485581e-01 5.952022037483492012e-01 5.943281595990090871e-01
-7.000000000000000000e+01 4.110256651772966480e-02 2.984028229947064959e-01 3.041918677457752795e-01 5.956517301283851262e-01 5.952901610364544904e-01 5.951262501277809758e-01 -5.201851544876483964e-06 -1.387980458574509050e-05 1.469444041582291373e-06 -5.709979007386459509e-04 -4.894313005551492604e-04 -6.807069907022354153e-04 5.950807322276459033e-01 5.948007297358983703e-01 5.944455431370777587e-01
-6.750000000000000000e+01 3.341621736829505918e-02 2.985404940154503528e-01 2.962898680003171470e-01 5.947723680686000103e-01 5.944827652867237244e-01 5.947698892514028390e-01 -6.746390976974653484e-06 2.270373312582000644e-05 -2.026855356645946595e-05 -1.190076670329665454e-03 -5.900316423989211429e-04 -8.194147581652754322e-04 5.935822913982699012e-01 5.938927336443249327e-01 5.939504744932374569e-01
-6.500000000000000000e+01 2.642112300149199525e-02 2.935119795278116617e-01 2.924474377918839241e-01 5.941393794053163591e-01 5.933576226201520143e-01 5.939564837877288062e-01 -2.826084456534301901e-05 -1.705523359059856671e-05 -1.914596253372686659e-05 -2.389847535604999219e-03 -1.608121940446770488e-03 -1.513932646700309357e-03 5.917495318697114648e-01 5.917495006797048873e-01 5.924425511410281731e-01
-6.250000000000000000e+01 1.622292483563007523e-02 2.955616964916380485e-01 2.891806564402600865e-01 5.935672130615702313e-01 5.936526033571630778e-01 5.933965502968274741e-01 1.259339845893779391e-06 3.315335714033256211e-06 6.531601456940465396e-06 -1.215809118505524608e-03 -8.088334483382811184e-04 -7.374946072656787116e-04 5.923514039430652911e-01 5.928437699088250357e-01 5.926590556895620088e-01
-6.000000000000000000e+01 6.024511109693111988e-02 3.091867923557143349e-01 3.061341989399222197e-01 5.936080967295929156e-01 5.937884573706246893e-01 5.935747474096476628e-01 -9.667943902580390807e-06 2.588253267799696435e-05 2.896494516486106935e-05 -9.174783855764536864e-04 -6.800518198608955208e-04 -3.502006088085024191e-04 5.926906183440157072e-01 5.931084055507636066e-01 5.932245468008390255e-01
-5.750000000000000000e+01 1.782282735598524070e-02 2.981555742053866864e-01 2.974736736703177953e-01 5.941241178355677333e-01 5.944568684664216507e-01 5.943520996745368379e-01 -5.344326064580988701e-06 -2.270564161667759090e-05 -1.249308016985042048e-05 -3.828956526218475266e-04 -4.736322304765547058e-04 -7.592098763534414492e-05 5.937412221829457826e-01 5.939832362359451778e-01 5.942761786869007468e-01
