#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 8.715852834358486234e-01 7.904725056654023918e-01 7.883162473652743918e-01 8.717730113777201195e-01 7.905587621866924097e-01 7.885281631188392204e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.877279418714170956e-04 -8.625652129000723606e-05 -2.119157535650720975e-04 8.715852834358486234e-01 7.904725056654023918e-01 7.883162473652743918e-01
-9.500000000000000000e+01 8.762768470214807870e-01 8.137208975363806607e-01 8.238525999495297514e-01 8.764256508959024083e-01 8.138509095184499609e-01 8.240592404383312308e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.488038744215276765e-04 -1.300119820693386647e-04 -2.066404888015397582e-04 8.762768470214807870e-01 8.137208975363806607e-01 8.238525999495297514e-01
-9.250000000000000000e+01 8.978349433219663389e-01 8.375319809259332837e-01 8.495172999175970574e-01 8.980062895601816919e-01 8.375450649977923545e-01 8.495785195768582598e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.713462382153719979e-04 -1.308407185889487760e-05 -6.121965926135504541e-05 8.978349433219663389e-01 8.375319809259332837e-01 8.495172999175970574e-01
-9.000000000000000000e+01 9.189987768326363105e-01 8.718847681583167253e-01 8.895737304949208335e-01 9.191052845653370218e-01 8.719529739184062045e-01 8.896228271619223138e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.065077327006184955e-04 -6.820576008945851128e-05 -4.909666700153942151e-05 9.189987768326363105e-01 8.718847681583167253e-01 8.895737304949208335e-01
-8.750000000000000000e+01 9.147594551849335121e-01 8.778537086953251967e-01 9.111583318731897307e-01 9.167951539462992905e-01 8.783353130706542666e-01 9.114643021246271459e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.035698761365741568e-03 -4.816043753290219910e-04 -3.059702514373163068e-04 9.147594551849335121e-01 8.778537086953251967e-01 9.111583318731897307e-01
-8.500000000000000000e+01 9.292247804565914038e-01 8.878896333611482339e-01 8.998046471254007583e-01 9.285214002820700863e-01 8.876729872988291525e-01 8.982920705614155787e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.033801745212744710e-04 2.166460623191294836e-04 1.512576563985148365e-03 9.292247804565914038e-01 8.878896333611482339e-01 8.998046471254007583e-01
-8.250000000000000000e+01 9.318768847121452481e-01 9.010392245634840647e-01 8.819071100405425634e-01 9.323495849285894366e-01 9.011127754854425520e-01 8.819482488945201704e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.727002164442514081e-04 -7.355092195861417448e-05 -4.113885397744552612e-05 9.318768847121452481e-01 9.010392245634840647e-01 8.819071100405425634e-01
-8.000000000000000000e+01 9.282105318329043619e-01 8.959432900312215287e-01 8.666098344742291237e-01 9.284933051522670233e-01 8.959944951230175425e-01 8.667522593567550393e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.827733193626281918e-04 -5.120509179598894354e-05 -1.424248825259367870e-04 9.282105318329043619e-01 8.959432900312215287e-01 8.666098344742291237e-01
-7.750000000000000000e+01 9.342502947212354414e-01 8.891574645553976808e-01 8.939302271184308424e-01 9.344169684620156069e-01 8.892309138805627455e-01 8.940749923333703997e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.666737407801531696e-04 -7.344932516502780521e-05 -1.447652149395799832e-04 9.342502947212354414e-01 8.891574645553976808e-01 8.939302271184308424e-01
-7.500000000000000000e+01 9.320953312755942965e-01 8.808993213582052562e-01 9.111925789226136274e-01 9.322536531701812734e-01 8.809665732995167753e-01 9.112757754570104396e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.583218945869847621e-04 -6.725194131159625301e-05 -8.319653439666295600e-05 9.320953312755942965e-01 8.808993213582052562e-01 9.111925789226136274e-01
-7.250000000000000000e+01 9.316502328423347246e-01 8.766813146951949465e-01 9.167737423071607994e-01 9.320101661483012334e-01 8.769916819600863667e-01 9.168760963523522323e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.599333059664442357e-04 -3.103672648912822810e-04 -1.023540451915088090e-04 9.316502328423347246e-01 8.766813146951949465e-01 9.167737423071607994e-01
-7.000000000000000000e+01 9.310523352684313414e-01 8.746905759610307252e-01 9.349024120898331569e-01 9.312916547317079408e-01 8.749109229610763094e-01 9.352450682559189099e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.393194632766773458e-04 -2.203470000453670267e-04 -3.426561660857210703e-04 9.310523352684313414e-01 8.746905759610307252e-01 9.349024120898331569e-01
-6.750000000000000000e+01 9.453054469823957140e-01 8.948722229208717627e-01 9.083181169798931753e-01 9.454403294479378772e-01 8.951270819564404180e-01 9.083986220345695584e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.348824655421881468e-04 -2.548590355687044696e-04 -8.050505467633412796e-05 9.453054469823957140e-01 8.948722229208717627e-01 9.083181169798931753e-01
-6.500000000000000000e+01 9.597538425880137725e-01 8.970098810734729033e-01 8.881303912949444213e-01 9.598566489305374594e-01 8.970537153846351863e-01 8.881964432960872680e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.028063425235719967e-04 -4.383431116235686113e-05 -6.605200114286913519e-05 9.597538425880137725e-01 8.970098810734729033e-01 8.881303912949444213e-01
-6.250000000000000000e+01 9.566586773428843449e-01 8.902767847108822297e-01 8.967537892355829099e-01 9.567624739940222556e-01 8.904263462983735833e-01 8.968806101228020689e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.037966511378954132e-04 -1.495615874912006394e-04 -1.268208872192761372e-04 9.566586773428843449e-01 8.902767847108822297e-01 8.967537892355829099e-01
-6.000000000000000000e+01 9.641566341215014324e-01 9.239334891490966761e-01 8.991937544102377444e-01 9.643620981284221072e-01 9.241369400597516659e-01 8.993648208066328253e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.054640069208022932e-04 -2.034509106550114535e-04 -1.710663963950923873e-04 9.641566341215014324e-01 9.239334891490966761e-01 8.991937544102377444e-01
-5.750000000000000000e+01 9.585480771747804107e-01 9.180640529547327011e-01 9.026679751719082212e-01 9.586713762022008867e-01 9.181573520701319380e-01 9.027594720115880156e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.232990274204382884e-04 -9.329911539915723272e-05 -9.149683967981852098e-05 9.585480771747804107e-01 9.180640529547327011e-01 9.026679751719082212e-01
-5.500000000000000000e+01 9.510201504615561907e-01 9.124572721484917048e-01 9.020494807964611894e-01 9.511443554775401710e-01 9.125843038242327232e-01 9.021184645944623215e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.242050159839831877e-04 -1.270316757408710253e-04 -6.898379800111699553e-05 9.510201504615561907e-01 9.124572721484917048e-01 9.020494807964611894e-01
-5.250000000000000000e+01 9.617389803933317216e-01 9.319477158056973520e-01 9.234399253146540199e-01 9.620251957276013677e-01 9.319576029144170937e-01 9.236276113828071344e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.862153342696323560e-04 -9.887108719693987364e-06 -1.876860681530705132e-04 9.617389803933317216e-01 9.319477158056973520e-01 9.234399253146540199e-01
-5.000000000000000000e+01 9.653064753620886895e-01 9.431193394584099776e-01 9.391213743792036217e-01 9.667401785062827990e-01 9.440343709516270110e-01 9.398084082635574932e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.433703144194229187e-03 -9.150314932170152587e-04 -6.870338843539635200e-04 9.653064753620886895e-01 9.431193394584099776e-01 9.391213743792036217e-01
-4.750000000000000000e+01 9.907048573836139127e-01 9.544241707809559827e-01 9.301278574544719069e-01 9.911250541575920003e-01 9.546415382219158863e-01 9.303455767241981533e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.201967739781558848e-04 -2.173674409600972069e-04 -2.177192697262392621e-04 9.907048573836139127e-01 9.544241707809559827e-01 9.301278574544719069e-01
-4.500000000000000000e+01 1.037372719519464637e+00 9.613072811100821236e-01 9.383123826323401806e-01 1.037566331968429401e+00 9.613623739787051647e-01 9.383809848088047190e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.936124489648493902e-04 -5.509286862300136716e-05 -6.860217646443467654e-05 1.037372719519464637e+00 9.613072811100821236e-01 9.383123826323401806e-01
-4.250000000000000000e+01 1.053724610163523367e+00 9.905929317909546450e-01 9.702422594000461586e-01 1.054015852671954745e+00 9.906943936422044628e-01 9.705371745911683945e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.912425084314452617e-04 -1.014618512495945457e-04 -2.949151911222555318e-04 1.053724610163523367e+00 9.905929317909546450e-01 9.702422594000461586e-01
-4.000000000000000000e+01 2.029563044596425225e+00 1.036558256600770500e+00 9.192097841069886144e-01 8.928157306706919760e-01 8.376356553410121419e-01 8.201106782946210316e-01 1.137150359795173982e+00 1.990343322905039347e-01 9.924723275388512567e-02 -4.030458694404676881e-04 -1.117310307453188255e-04 -1.481269415175932977e-04 8.924126848012514657e-01 8.375239243102666764e-01 8.199625513531034748e-01
-3.950000000000000000e+01 -1.659399878374730533e-02 5.331252241932825653e-01 4.745078502659658137e-01 8.575473209811815822e-01 8.132083620279900726e-01 7.994284649934705334e-01 -8.732543636017037203e-01 -2.798902745937691949e-01 -3.246618545267674349e-01 -8.869561632251003703e-04 -1.928632409382657713e-04 -2.587602007372035210e-04 8.566603648179563768e-01 8.130154987870517047e-01 7.991697047927331932e-01
