#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-9.750000000000000000e+01 2.504646018928743390e-01 2.228229286428346223e-01 2.233186573468363412e-01 1.787492833157986738e-01 1.694706936475036119e-01 1.692504731534939522e-01 -4.758791998377091504e-06 -1.889593270915901833e-06 -1.915462657034370139e-06 5.674796032931031292e-05 2.412349366899141649e-04 2.129827929852156471e-04 1.788060312761280135e-01 1.697119285841935388e-01 1.694634559464790469e-01
-9.500000000000000000e+01 3.239927812624956438e-01 2.671306774019999164e-01 2.604582805384977884e-01 1.868908937957771688e-01 1.805589719636575274e-01 1.801625964323914642e-01 -5.809478343020762395e-06 -4.648202202909549027e-06 -4.587697668664745254e-06 2.221711352115145113e-03 1.639293462581181476e-03 1.618246985230751634e-03 1.891126051478921322e-01 1.821982654262386814e-01 1.817808434176221566e-01
-9.250000000000000000e+01 4.171131064140657929e-01 3.236308439109519819e-01 3.290524177500808722e-01 1.987253445081372805e-01 1.906482711532720420e-01 1.917418525798647577e-01 -2.756257903927915755e-06 -9.240003477155082688e-07 -2.420275987433121581e-06 2.537511494976231116e-03 1.313671554476054026e-03 1.656343120170518943e-03 2.012628560031135549e-01 1.919619427077481899e-01 1.933981957000353025e-01
-9.000000000000000000e+01 5.286466241915234177e-01 3.882135700658390087e-01 4.014165412329506188e-01 2.073716089263385187e-01 1.981739697528325239e-01 1.990904496440261684e-01 -1.939388607466971086e-05 -1.695812865370547931e-05 -1.885157675163430836e-05 1.685780103487563575e-03 5.782108310487369968e-04 7.878570387908406455e-04 2.090573890298259574e-01 1.987521805838812494e-01 1.998783066828169475e-01
-8.750000000000000000e+01 5.405256047262880781e-01 4.137172821422253621e-01 4.154658207647484724e-01 2.092466949586123670e-01 2.015122583865074923e-01 2.030676845492444815e-01 1.070913055969076783e-04 2.567901460978204695e-06 4.706781183937852257e-06 2.419146916522283471e-03 2.254998608257660197e-03 1.565799648273312949e-03 2.116658418751345694e-01 2.037672569947650558e-01 2.046334841975178120e-01
-8.500000000000000000e+01 5.278306914877060052e-01 3.936243957484205080e-01 4.074588016441901828e-01 2.100064643217015026e-01 2.019971086155024076e-01 2.051804537361927305e-01 -5.562338069062618449e-05 -5.323032875168751788e-05 -2.973581644739776246e-05 1.739589254067836583e-03 1.037549280005112652e-03 6.844856497055299121e-04 2.117460535757693940e-01 2.030346578955074810e-01 2.058649393858982268e-01
-8.250000000000000000e+01 5.368026366548989126e-01 3.980007365149380583e-01 4.050777617837861277e-01 2.111544363990097706e-01 2.035874306834454528e-01 2.056007713515941304e-01 8.990016565838874324e-05 -1.452208569803076154e-05 -1.122306910265820908e-05 2.224206361099649153e-03 1.796774826032219085e-03 1.077200411617781689e-03 2.133786427601094271e-01 2.053842055094775576e-01 2.066779717632120372e-01
-8.000000000000000000e+01 5.544121488940866316e-01 4.168835328409544183e-01 4.167489608379162935e-01 2.115843742705709185e-01 2.051438450738387043e-01 2.058770117666083588e-01 -5.252353037082574719e-05 -3.238885841646766463e-05 -2.559413605931236535e-05 2.107548520161759038e-03 3.404968432954353546e-04 1.131585562780744805e-03 2.136919227907326524e-01 2.054843419171342722e-01 2.070085973293890602e-01
-7.750000000000000000e+01 5.123154150607190926e-01 3.967738125690813411e-01 4.066238287226671133e-01 2.128585724539384105e-01 2.076338070928260005e-01 2.070649107870754235e-01 1.906151835565034289e-04 1.794433165728104494e-06 -2.037765279977148198e-05 1.366955150612051036e-03 7.949810185195967148e-04 2.127218050711237511e-04 2.142255276045504364e-01 2.084287881113456031e-01 2.072776325921464324e-01
-7.500000000000000000e+01 5.414797840909593152e-01 4.199284423623118601e-01 4.057405263739133350e-01 2.138392050882694795e-01 2.085122060430251445e-01 2.076935497992606350e-01 7.459307501262455245e-04 8.940515863968224390e-05 9.866438928875069254e-05 1.419635886526370364e-03 8.621701976843557493e-04 9.563510731932115070e-04 2.152588409747957510e-01 2.093743762407094533e-01 2.086499008724539417e-01
-7.250000000000000000e+01 5.318938816114724411e-01 4.122707712796776502e-01 3.992475019503574085e-01 2.174423156751467689e-01 2.107693300603787900e-01 2.093543921048965917e-01 -1.873098310562951903e-05 -6.101426989712310774e-06 -1.161988171242059089e-05 1.352527814969398676e-03 8.349218670991741167e-04 5.439243576940267335e-04 2.187948434901161865e-01 2.116042519274780598e-01 2.098983164625906617e-01
-7.000000000000000000e+01 5.320159948689852092e-01 4.053727428395964005e-01 4.082148977175334426e-01 2.193317233697253676e-01 2.133418429747868938e-01 2.122582016085925449e-01 2.925137922183797061e-04 7.278767062493903721e-05 1.132849686525901403e-04 6.258002403798141764e-04 2.957184533733345786e-04 1.002045888514246572e-04 2.199575236101052322e-01 2.136375614281602608e-01 2.123584061974439496e-01
-6.750000000000000000e+01 5.209489738530880265e-01 4.081222503932107060e-01 3.997620450113948398e-01 2.187072190130410210e-01 2.133521513479850196e-01 2.155005577980174947e-01 -5.059436796145814463e-06 5.770507472838957736e-05 5.805036370473158950e-05 1.276614859061882528e-03 5.031456573716278167e-04 2.885499537504045858e-04 2.199838338721029629e-01 2.138552970053566593e-01 2.157891077517678502e-01
-6.500000000000000000e+01 5.506515801843779867e-01 4.148460334559456175e-01 4.215409274520131588e-01 2.238013844702570476e-01 2.170307772731393803e-01 2.194028226225493150e-01 -3.947319238175844548e-05 -2.550912196614741308e-05 -1.134258783992853454e-05 1.974776139554057681e-03 6.201431127644598537e-04 1.060392598900725299e-03 2.257761606098112050e-01 2.176509203859037234e-01 2.204632152214499874e-01
-6.250000000000000000e+01 5.385993156218791267e-01 4.239824009270934946e-01 4.196509187222233761e-01 2.281780024336598767e-01 2.216410411941452385e-01 2.221078257742462592e-01 -4.403367454842222931e-05 -2.990406183510706608e-05 -3.320828404962356895e-05 2.671147928686160109e-03 2.148868029703863893e-03 2.041409707696828762e-03 2.308491503623461560e-01 2.237899092238491427e-01 2.241492354819432653e-01
-6.000000000000000000e+01 5.595896425548370079e-01 4.302215752154688877e-01 4.232074457258157563e-01 2.311036347653978862e-01 2.249215274355688965e-01 2.248487322960327495e-01 2.036925649459617302e-05 -1.932747098288248552e-05 -2.095374220670950764e-05 1.415639711826612848e-03 7.834877849568226606e-04 9.942750373066599080e-04 2.325192744772245079e-01 2.257050152205256621e-01 2.258430073333392574e-01
-5.750000000000000000e+01 5.489843714255887575e-01 4.272163184178423556e-01 4.224396727502467974e-01 2.362126364830343939e-01 2.285736453434801807e-01 2.282022084897385727e-01 1.113286271253655828e-04 5.036278796271366270e-05 8.227602552577934891e-05 1.885539444071401274e-03 2.941959314655744236e-03 2.304908047563722969e-03 2.380981759271058595e-01 2.315156046581359206e-01 2.305071165373022146e-01
-5.500000000000000000e+01 5.545793862247285766e-01 4.364154708359647694e-01 4.257073166544531051e-01 2.414334063808046826e-01 2.321744372612140339e-01 2.329122869017248576e-01 -9.336263546729161266e-05 -2.480978512937407409e-05 -5.840984878507314007e-05 8.102668600131489362e-04 8.291191922188848127e-04 1.398022017555350686e-03 2.422436732408178306e-01 2.330035564534329029e-01 2.343103089192803967e-01
-5.250000000000000000e+01 5.800903761856239793e-01 4.537885426934206157e-01 4.433107635256950396e-01 2.451657227619617185e-01 2.387623980698760640e-01 2.394839530338256084e-01 -6.062590354991736390e-05 -3.349569989398309830e-05 -2.310959443513726087e-05 2.688164249286026982e-03 1.186036298847965376e-03 1.575793220581223888e-03 2.478538870112477477e-01 2.399484343687241505e-01 2.410597462544067371e-01
